timestamp,actor,category,description
2026-02-11T06:58:36.725424+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Sunday: off -> on
2026-02-11T06:58:31.483867+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Sunday: on -> off
2026-02-11T06:58:09.564081+00:00,Management,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_5
2026-02-11T06:57:52.270817+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T06:56:33.504816+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T06:56:24.003581+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 3
2026-02-11T06:52:48.771356+00:00,Management,Issues,Acknowledged issue (severe): This is from the AWS side. Can you see me?
2026-02-11T04:36:23.017549+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T04:35:54.119987+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T04:22:40.067346+00:00,Management,Schedule,Set 793A8C Schedule Start Time 1: 5:00 AM -> 1:00 AM
2026-02-11T04:21:59.296085+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T02:46:57.468977+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (pending wake)
2026-02-11T02:33:49.438353+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T02:33:05.769891+00:00,Management,Moisture Probes,Calibrate wet pressed for Gophr 2ac860 (FluxOpenHome Gophr) (3 sensors)
2026-02-11T02:32:05.176854+00:00,Management,Moisture Probes,Calibrate dry pressed for Gophr 2ac860 (FluxOpenHome Gophr) (3 sensors)
2026-02-11T02:31:39.205222+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T02:10:40.860989+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T01:20:43.642082+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 5.0 min (pending wake)
2026-02-11T01:18:38.321003+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-11T01:17:14.263346+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-11T00:31:49.451101+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Master Valve -> Pump Start Relay
2026-02-11T00:29:19.509571+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T00:29:12.277824+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Pump Start Relay -> Master Valve
2026-02-11T00:13:32.826000+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 2
2026-02-11T00:12:37.049163+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T00:12:19.375050+00:00,Homeowner,Moisture Probes,Apply Factors to Schedule: Disabled -> Enabled
2026-02-11T00:11:34.857126+00:00,Homeowner,Moisture Probes,Apply Factors to Schedule: Enabled -> Disabled
2026-02-11T00:10:43.009829+00:00,Homeowner,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_6
2026-02-11T00:08:33.745095+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-11T00:07:54.112771+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 1 (6 head(s))
2026-02-11T00:07:13.249516+00:00,Homeowner,Schedule,Updated zone aliases (no changes)
2026-02-11T00:07:09.584028+00:00,Homeowner,Schedule,Zone alias Irrigation Ctrl V2 793A8C Zone 1: (default) -> Zone 1
2026-02-11T00:06:00.378218+00:00,Homeowner,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-10T23:34:59.469243+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T23:26:42.028717+00:00,Homeowner,Issues,Returned issue (severe): The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T23:25:53.571593+00:00,Management,Issues,Resolved issue (severe): The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T23:19:12.407314+00:00,Homeowner,Issues,Reported Severe Issue: The sprinkler next to my mailbox is spraying water all over!!
2026-02-10T22:55:57.643113+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 7
2026-02-10T22:55:51.813167+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 7
2026-02-10T22:11:13.028831+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 6
2026-02-10T22:10:47.088996+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 6
2026-02-10T22:09:33.497722+00:00,Homeowner,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 5
2026-02-10T22:09:17.222018+00:00,Homeowner,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 5
2026-02-10T22:09:03.104013+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 5 (50 head(s))
2026-02-10T22:03:04.331211+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Zone -> Pump Start Relay
2026-02-10T22:00:37.897810+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Enabled: off -> on
2026-02-10T22:00:03.265419+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Zone 8 Mode: Pump Start Relay -> Zone
2026-02-10T21:59:43.698933+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T21:59:27.482998+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-10T21:57:32.809837+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 4 (1 head(s))
2026-02-10T21:57:24.872526+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 4 (1 head(s))
2026-02-10T21:46:25.396496+00:00,Management,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_11, switch.irrigation_ctrl_v2_793a8c_zone_12"
2026-02-10T21:44:52.746966+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 1 (5 head(s))
2026-02-10T17:44:44.867601+00:00,Management,Weather Rules,"Wind Speed — Max Wind (km/h): 14 -> 24, Max Wind (mph): 8 -> 15"
2026-02-10T16:10:04.664717+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-10T15:37:16.880106+00:00,Homeowner,Issues,Reported Clarification: Is it normal for the irrigation to come on late at night?
2026-02-10T02:59:57.245073+00:00,Management,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_12
2026-02-10T02:59:20.177630+00:00,Management,Moisture Probes,Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_11
2026-02-09T23:43:59.754045+00:00,Management,Report Settings,Company Name: (empty) → HOT VIBES IRRIGATION; Accent Color: #1a7a4c → #d50b0b
2026-02-09T23:10:05.679117+00:00,Homeowner,Water Settings,water_source:  → well
2026-02-09T22:39:53.270006+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 1
2026-02-09T22:39:35.336592+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1
2026-02-09T21:40:28.275399+00:00,Management,Pump Settings,hp: 0.0 → 2.0; kw: 0.0 → 1.4914; brand:  → Goulds; year_installed:  → 2020; cost_per_kwh: 0.12 → 0.14
2026-02-09T21:39:57.878633+00:00,Management,Pump Settings,voltage: 240 → 240.0
2026-02-09T20:33:48.642000+00:00,Management,Weather Rules,Seasonal Adjustment — Disabled
2026-02-09T20:21:42.603318+00:00,Management,Weather Rules,"Wind Speed — Max Wind (km/h): 2 -> 14, Max Wind (mph): 1 -> 8"
2026-02-09T20:21:25.645400+00:00,Management,Weather Rules,"Wind Speed — Max Wind (km/h): 14 -> 2, Max Wind (mph): 8 -> 1"
2026-02-09T20:21:10.032521+00:00,Management,Weather Rules,"Cool Temperature — Cool Threshold (C): 27 -> 10, Cool Threshold (F): 80 -> 50"
2026-02-09T20:20:48.951717+00:00,Management,Weather Rules,"Cool Temperature — Cool Threshold (C): 10 -> 27, Cool Threshold (F): 50 -> 80"
2026-02-09T20:20:40.555566+00:00,Management,Weather Rules,"Freeze Protection — Freeze Threshold (C): 32 -> 2, Freeze Threshold (F): 90 -> 35"
2026-02-09T20:20:13.296253+00:00,Management,Weather Rules,"Freeze Protection — Freeze Threshold (C): 2 -> 32, Freeze Threshold (F): 35 -> 90"
2026-02-09T20:11:29.875988+00:00,Management,Weather Rules,Seasonal Adjustment — Enabled
2026-02-09T20:11:06.407628+00:00,Management,Weather Rules,"Hot Temperature — Hot Threshold (C): -7 -> 35, Hot Threshold (F): 20 -> 95"
2026-02-09T20:10:40.948003+00:00,Management,Weather Rules,"Hot Temperature — Hot Threshold (C): 35 -> -7, Hot Threshold (F): 95 -> 20"
2026-02-09T20:01:42.194962+00:00,Management,Weather Rules,"Wind Speed — Max Wind (km/h): 2 -> 14, Max Wind (mph): 1 -> 8"
2026-02-09T20:01:06.605990+00:00,Management,Weather Rules,"Wind Speed — Max Wind (km/h): 32 -> 2, Max Wind (mph): 20 -> 1"
2026-02-09T20:00:44.998700+00:00,Management,Weather Rules,"Humidity — Enabled, Humidity Threshold (%): 10 -> 80"
2026-02-09T20:00:28.843350+00:00,Management,Weather Rules,Humidity — Disabled
2026-02-09T19:59:04.369739+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-09T19:53:55.430087+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 2 for 10 min
2026-02-09T19:53:46.493718+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 8
2026-02-09T19:39:54.712603+00:00,Management,Weather Rules,Humidity — Humidity Threshold (%): 80 -> 10
2026-02-09T19:35:28.998236+00:00,Management,Schedule,Set 793A8C Rain Delay Enabled: on -> off
2026-02-09T19:35:02.840277+00:00,Management,Schedule,Set 793A8C Rain Delay Enabled: off -> on
2026-02-09T19:34:44.422641+00:00,Management,Schedule,Set 793A8C Rain Delay Enabled: on -> off
2026-02-09T19:34:39.759569+00:00,Management,Schedule,Set 793A8C Rain Delay Enabled: off -> on
2026-02-09T19:18:50.747192+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 3 (1 head(s))
2026-02-09T19:18:18.418433+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T19:06:47.463845+00:00,Homeowner,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T19:00:45.531221+00:00,Management,Moisture Probes,Set sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 60.0 min (applied immediately)
2026-02-09T17:46:49.122005+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T17:40:52.516220+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T17:39:12.729067+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T17:36:09.800469+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T17:36:06.084492+00:00,Management,Zone Details,Updated head details for Irrigation Ctrl V2 793A8C Zone 2 (4 head(s))
2026-02-09T17:15:59.111314+00:00,Management,Weather Rules,"Cool Temperature — Cool Threshold (C): 18 -> 10, Cool Threshold (F): 65 -> 50"
2026-02-09T17:14:06.985607+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T16:41:30.282739+00:00,Management,Schedule,Set 793A8C Schedule Start Time 2: 10:00 AM -> 
2026-02-09T16:39:30.273719+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Enabled: off -> on
2026-02-09T16:39:09.652667+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Schedule Enabled: on -> off
2026-02-09T16:37:14.860336+00:00,Management,Zone Control,Started Irrigation Ctrl V2 793A8C Zone 1 for 1 min
2026-02-09T16:36:15.278578+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T16:31:25.280297+00:00,Homeowner,Issues,Dismissed resolved issue (severe): MY PUMP EXPLODED...
2026-02-09T16:30:29.293830+00:00,Management,Issues,Resolved issue (severe): MY PUMP EXPLODED...
2026-02-09T16:23:17.301719+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 10.0 min (pending wake)
2026-02-09T16:22:32.995881+00:00,Management,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T16:21:56.247578+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T16:20:55.163248+00:00,Homeowner,Moisture Probes,Sleep disabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T16:20:14.205906+00:00,Homeowner,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 1.0 min (pending wake)
2026-02-09T16:05:49.312435+00:00,Management,Weather Rules,Cool Temperature — Enabled
2026-02-09T16:05:27.907312+00:00,Management,Weather Rules,Cool Temperature — Disabled
2026-02-09T16:05:13.190106+00:00,Management,Weather Rules,Cool Temperature — Enabled
2026-02-09T16:05:00.938966+00:00,Management,Weather Rules,Cool Temperature — Disabled
2026-02-09T15:51:44.432586+00:00,Homeowner,Schedule,Set 793A8C Rain Sensor Enabled: on -> off
2026-02-09T15:51:42.934396+00:00,Homeowner,Schedule,Set 793A8C Rain Delay Enabled: on -> off
2026-02-09T15:51:06.810457+00:00,Homeowner,Schedule,Set 793A8C Rain Sensor Enabled: off -> on
2026-02-09T15:51:02.522280+00:00,Homeowner,Schedule,Set 793A8C Rain Delay Enabled: off -> on
2026-02-09T15:40:17.986973+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 60.0 min (pending wake)
2026-02-09T15:40:05.369088+00:00,Management,Moisture Probes,Queued sleep enable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T15:39:43.759303+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T15:38:11.905664+00:00,Management,Zone Control,Stopped Irrigation Ctrl V2 793A8C Zone 2
2026-02-09T15:36:10.256476+00:00,Homeowner,Issues,Dismissed resolved issue (clarification): small
2026-02-09T15:35:53.778089+00:00,Management,Issues,Resolved issue (clarification): small
2026-02-09T15:35:33.147227+00:00,Homeowner,Issues,Reported Clarification: small
2026-02-09T15:33:54.198369+00:00,Management,Issues,"Acknowledged issue (severe), service scheduled for 2026-05-19: no"
2026-02-09T15:33:06.973278+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Enable Zone 3: off -> on
2026-02-09T15:32:59.187228+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Enable Zone 3: off -> off
2026-02-09T15:32:58.779355+00:00,Management,Schedule,Set Irrigation Ctrl V2 793A8C Enable Zone 3: on -> off
2026-02-09T15:32:22.422187+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T15:31:55.815768+00:00,Management,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T15:31:30.043247+00:00,Management,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T15:26:46.405724+00:00,Management,Weather Rules,"Cool Temperature — Cool Threshold (C): 10 -> 18, Cool Threshold (F): 50 -> 65"
2026-02-09T15:19:04.568438+00:00,Management,Moisture Probes,Updated probe: Gophr 2ac860 (FluxOpenHome Gophr)
2026-02-09T15:09:42.969882+00:00,Management,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T14:58:40.551076+00:00,Homeowner,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T14:58:06.403978+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — entities updated: Extra calibrate_dry: (none) -> ['button.gophr_2ac860_calibrate_moisture_1_dry', 'button.gophr_2ac860_calibrate_moisture_2_dry', 'button.gophr_2ac860_calibrate_moisture_3_dry'], Extra calibrate_wet: (none) -> ['button.gophr_2ac860_calibrate_moisture_1_wet', 'button.gophr_2ac860_calibrate_moisture_2_wet', 'button.gophr_2ac860_calibrate_moisture_3_wet']"
2026-02-09T14:54:17.225350+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Removed zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_12, switch.irrigation_ctrl_v2_793a8c_zone_7"
2026-02-09T14:49:43.301119+00:00,Homeowner,Moisture Probes,Sleep enabled for Gophr 2ac860 (FluxOpenHome Gophr) (applied immediately)
2026-02-09T14:42:25.551062+00:00,Management,Moisture Probes,Queued sleep disable for Gophr 2ac860 (FluxOpenHome Gophr) (pending wake)
2026-02-09T14:17:19.312829+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 10.0 min (pending wake)
2026-02-09T14:00:53.952524+00:00,Homeowner,Device Config,Weather entity: weather.forecast_home -> weather.korl
2026-02-09T13:39:44.220049+00:00,Homeowner,Connection Key,ZIP: 32765 -> 32827
2026-02-09T13:39:44.219706+00:00,Homeowner,Connection Key,City: Oviedo -> ORLANDO
2026-02-09T13:39:44.219234+00:00,Homeowner,Connection Key,"Address: 515 Superior Commerce Point, Suite 1125 -> 8460 KARRER TER"
2026-02-09T13:21:16.495313+00:00,Homeowner,Moisture Probes,"Gophr 2ac860 (FluxOpenHome Gophr) — Added zones: switch.irrigation_ctrl_v2_793a8c_zone_10, switch.irrigation_ctrl_v2_793a8c_zone_12"
2026-02-09T13:13:18.999684+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 1.0 min (pending wake)
2026-02-09T13:09:33.604812+00:00,Management,Schedule,Set 793A8C Zone 11 Duration: 1.0 -> 10
2026-02-09T13:09:28.983173+00:00,Management,Schedule,Set 793A8C Zone 10 Duration: 1.0 -> 15
2026-02-09T13:04:24.119790+00:00,Homeowner,Schedule,Set 793A8C Zone 9 Duration: 1.0 -> 10
2026-02-09T13:04:06.692148+00:00,Management,Schedule,Set 793A8C Zone 7 Duration: 2.0 -> 20
2026-02-09T12:58:48.673825+00:00,Management,Schedule,Set 793A8C Zone 6 Duration: 1.0 -> 15
2026-02-09T12:58:30.998915+00:00,Management,Schedule,Set 793A8C Zone 5 Duration: 1.0 -> 10
2026-02-09T12:58:23.683959+00:00,Management,Schedule,Set 793A8C Zone 5 Duration: 1.0 -> 2
2026-02-09T12:58:16.537741+00:00,Management,Schedule,Set 793A8C Zone 4 Duration: 1.0 -> 40
2026-02-09T12:58:07.681636+00:00,Management,Schedule,Set 793A8C Zone 3 Duration: 2.0 -> 20
2026-02-09T12:58:00.495792+00:00,Management,Schedule,Set 793A8C Zone 2 Duration: 1.0 -> 30
2026-02-09T12:57:54.925626+00:00,Management,Schedule,Set 793A8C Zone 1 Duration: 1.0 -> 15
2026-02-09T12:57:30.335829+00:00,Management,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 15.0 min (pending wake)
2026-02-09T12:51:05.336576+00:00,Management,Weather Rules,Humidity — Enabled
2026-02-09T12:51:05.336075+00:00,Management,Weather Rules,Cool Temperature — Enabled
2026-02-09T12:49:10.329877+00:00,Homeowner,Moisture Probes,Queued sleep duration for Gophr 2ac860 (FluxOpenHome Gophr): 10.0 min (pending wake)
